Opportunity ID,Company Name,ARR,Stage,Win/Loss,Sales Rep,Industry,Deal Size,Days in Stage,Objection Category,Product Adoption Score,Customer Health Score,Renewal Probability
OPP-0042,Clearstep Analytics,520000,Discovery,Open,Dana Kim,MarTech,Enterprise,22,No Objection,21,63,15.9
OPP-0043,Streamline Analytics,85000,Negotiation,Open,Priya Nair,Insurance Tech,Mid-Market,58,Stakeholder Alignment,23,70,70.9
OPP-0044,Elevate Tech,11000,Prospecting,Open,Sam Torres,EdTech,SMB,2,Stakeholder Alignment,4,44,45.7
OPP-0045,Greenfield Tech,44000,Prospecting,Open,Casey Park,Cybersecurity,SMB,10,ROI Justification,21,44,53.3
OPP-0046,Pulse Platforms,85000,Qualification,Open,Casey Park,FinTech,Mid-Market,12,Pricing,22,69,19.0
OPP-0047,HighRidge Tech,530000,Prospecting,Open,Marcus Rivera,MarTech,Enterprise,16,Feature Gap,15,43,40.9
OPP-0048,Tidal Software,95000,Discovery,Open,Alex Chen,MarTech,Mid-Market,13,Stakeholder Alignment,18,53,58.6
OPP-0049,Bedrock Platforms,20000,Prospecting,Open,Dana Kim,PropTech,SMB,10,No Objection,12,39,36.9
OPP-0050,Traverse Analytics,110000,Negotiation,Open,Priya Nair,Manufacturing,Mid-Market,38,Contract Terms,36,47,46.4
OPP-0051,Ironbridge AI,11000,Proposal,Open,Jamie Wu,PropTech,SMB,60,Competitor Preference,20,44,49.9
OPP-0052,Citadel Cloud,530000,Closed Lost,Lost,Jamie Wu,Cybersecurity,Enterprise,6,Budget Freeze,28,32,19.0
OPP-0053,Echo Cloud,790000,Closed Lost,Lost,Sam Torres,HR Tech,Enterprise,5,Stakeholder Alignment,32,33,11.8
OPP-0054,Meadowpoint Systems,33000,Proposal,Open,Riley Scott,FinTech,SMB,31,Feature Gap,26,42,57.2
OPP-0055,Sterling Systems,590000,Qualification,Open,Marcus Rivera,HealthTech,Enterprise,13,Security Concerns,28,55,51.0
OPP-0056,Rivergate Tech,95000,Prospecting,Open,Dana Kim,RetailTech,Mid-Market,4,Feature Gap,7,56,24.0
OPP-0057,Praxis Platforms,12000,Qualification,Open,Priya Nair,RetailTech,SMB,33,Budget Freeze,30,60,35.6
OPP-0058,Fieldstone AI,380000,Proposal,Open,Priya Nair,FinTech,Enterprise,33,Feature Gap,49,77,68.1
OPP-0059,Stronghold Tech,60000,Discovery,Open,Priya Nair,HealthTech,Mid-Market,13,Feature Gap,14,51,60.0
OPP-0060,Fortis Tech,440000,Prospecting,Open,Riley Scott,Legal Tech,Enterprise,18,Stakeholder Alignment,24,58,36.8
OPP-0061,Radian Tech,95000,Closed Won,Won,Dana Kim,DevTools,Mid-Market,3,Feature Gap,97,82,85.5
OPP-0062,Stellar Operations,280000,Discovery,Open,Dana Kim,Legal Tech,Enterprise,31,Competitor Preference,23,47,64.7
OPP-0063,Anchor Analytics,19000,Proposal,Open,Dana Kim,RetailTech,SMB,11,Pricing,25,76,66.9
OPP-0064,Apex Dynamics,90000,Negotiation,Open,Sam Torres,FinTech,Mid-Market,32,ROI Justification,65,47,65.2
OPP-0065,Titan Software,75000,Qualification,Open,Marcus Rivera,HealthTech,Mid-Market,16,Feature Gap,27,38,40.2
OPP-0066,BlueRidge SaaS,26000,Discovery,Open,Jamie Wu,Real Estate Tech,SMB,25,No Objection,7,44,41.5
OPP-0067,CoreLogic Pro,340000,Proposal,Open,Sam Torres,PropTech,Enterprise,54,Contract Terms,38,54,49.1
OPP-0068,Verilink Data,70000,Proposal,Open,Jamie Wu,HealthTech,Mid-Market,22,Feature Gap,33,57,54.6
OPP-0069,Paragon Systems,36000,Discovery,Open,Marcus Rivera,Manufacturing,SMB,21,Pricing,19,42,29.6
OPP-0070,Summit Digital,85000,Closed Lost,Lost,Casey Park,HealthTech,Mid-Market,8,Pricing,25,38,14.8
OPP-0071,Harbor Analytics,700000,Discovery,Open,Alex Chen,Real Estate Tech,Enterprise,24,Security Concerns,13,64,39.9
OPP-0072,Ascend Systems,80000,Qualification,Open,Priya Nair,HR Tech,Mid-Market,23,ROI Justification,19,41,54.1
OPP-0073,Latitude Tech,100000,Qualification,Open,Riley Scott,Insurance Tech,Mid-Market,37,Timing,36,56,53.7
OPP-0074,Vela Systems,720000,Negotiation,Open,Alex Chen,Real Estate Tech,Enterprise,77,Contract Terms,35,65,59.1
OPP-0075,WestEdge Cloud,17000,Negotiation,Open,Morgan Lee,Legal Tech,SMB,59,Contract Terms,41,49,48.7
OPP-0076,Synergy Data,270000,Discovery,Open,Jamie Wu,Insurance Tech,Enterprise,7,Feature Gap,25,50,24.7
OPP-0077,Frontier Systems,14000,Qualification,Open,Sam Torres,RetailTech,SMB,15,No Objection,41,56,63.4
OPP-0078,Bastion AI,30000,Prospecting,Open,Alex Chen,Manufacturing,SMB,18,Feature Gap,20,30,60.7
OPP-0079,Trident Analytics,95000,Proposal,Open,Jordan Blake,FinTech,Mid-Market,28,Pricing,32,71,67.9
OPP-0080,Torch AI,125000,Proposal,Open,Jamie Wu,Insurance Tech,Mid-Market,65,ROI Justification,49,54,55.4
OPP-0081,Solstice Software,105000,Prospecting,Open,Casey Park,Logistics,Mid-Market,4,Budget Freeze,15,25,39.7
OPP-0082,Crosspoint AI,25000,Proposal,Open,Priya Nair,HR Tech,SMB,21,Timing,28,50,46.4
OPP-0083,Millstone Tech,140000,Qualification,Open,Jordan Blake,PropTech,Mid-Market,31,Stakeholder Alignment,30,71,19.8
OPP-0084,Clearview AI,70000,Proposal,Open,Casey Park,DevTools,Mid-Market,50,Contract Terms,45,69,60.1
OPP-0085,Delta Metrics,21000,Proposal,Open,Jamie Wu,PropTech,SMB,24,ROI Justification,11,52,43.0
OPP-0086,Spire Analytics,150000,Qualification,Open,Casey Park,FinTech,Mid-Market,14,Timing,38,53,24.6
OPP-0087,Hillcrest Software,105000,Closed Won,Won,Sam Torres,HealthTech,Mid-Market,3,Feature Gap,70,90,76.4
OPP-0088,Veritas AI,85000,Qualification,Open,Jamie Wu,RetailTech,Mid-Market,36,ROI Justification,24,69,23.1
OPP-0089,NorthStar Data,580000,Qualification,Open,Alex Chen,HR Tech,Enterprise,28,Competitor Preference,17,50,49.1
OPP-0090,Lakefront Tech,29000,Negotiation,Open,Sam Torres,RetailTech,SMB,49,Competitor Preference,25,63,59.1
OPP-0091,Orbit Software,38000,Qualification,Open,Priya Nair,Real Estate Tech,SMB,19,Contract Terms,31,49,18.3
OPP-0092,Apexion Systems,22000,Qualification,Open,Riley Scott,Real Estate Tech,SMB,26,ROI Justification,14,48,19.9
OPP-0093,Oceanside Software,90000,Discovery,Open,Morgan Lee,Logistics,Mid-Market,24,Stakeholder Alignment,30,34,55.8
OPP-0094,Ridgeline Cloud,28000,Qualification,Open,Casey Park,MarTech,SMB,17,Stakeholder Alignment,33,63,31.6
OPP-0095,NetForge AI,105000,Discovery,Open,Marcus Rivera,Legal Tech,Mid-Market,10,Stakeholder Alignment,30,43,21.3
OPP-0096,Beacon Cloud,110000,Qualification,Open,Jordan Blake,Legal Tech,Mid-Market,21,ROI Justification,33,61,20.2
OPP-0097,Radiant Data,120000,Closed Won,Won,Casey Park,EdTech,Mid-Market,3,No Objection,92,87,91.2
OPP-0098,Ironclad Systems,610000,Negotiation,Open,Priya Nair,PropTech,Enterprise,24,Timing,52,86,77.7
OPP-0099,Flagstone Analytics,95000,Proposal,Open,Jordan Blake,Real Estate Tech,Mid-Market,27,Competitor Preference,53,46,50.1
OPP-0100,Vertex Systems,140000,Proposal,Open,Sam Torres,FinTech,Mid-Market,41,ROI Justification,44,62,55.6
OPP-0101,Pathfinder Systems,14000,Negotiation,Open,Casey Park,HealthTech,SMB,20,Pricing,48,61,64.1
OPP-0102,Pinnacle Cloud,34000,Closed Won,Won,Priya Nair,PropTech,SMB,3,No Objection,75,69,66.7
OPP-0103,Prism Platforms,27000,Closed Lost,Lost,Morgan Lee,E-Commerce,SMB,4,Feature Gap,15,20,15.7
OPP-0104,Keystone SaaS,590000,Closed Lost,Lost,Marcus Rivera,MarTech,Enterprise,4,Pricing,11,14,18.5
OPP-0105,Shoreline Systems,640000,Proposal,Open,Marcus Rivera,Manufacturing,Enterprise,10,No Objection,21,74,64.6
OPP-0106,Solara AI,70000,Qualification,Open,Jamie Wu,DevTools,Mid-Market,34,Feature Gap,26,72,36.9
OPP-0107,Lynx Systems,290000,Discovery,Open,Casey Park,DevTools,Enterprise,30,Feature Gap,25,41,59.2
OPP-0108,Axiom Software,115000,Qualification,Open,Marcus Rivera,HealthTech,Mid-Market,36,Timing,27,59,40.1
OPP-0109,Groundwork Systems,13000,Negotiation,Open,Riley Scott,E-Commerce,SMB,59,ROI Justification,44,45,48.5
OPP-0110,Ironclad Cloud,13000,Closed Won,Won,Morgan Lee,Legal Tech,SMB,4,No Objection,89,86,83.4
OPP-0111,Pillar Systems,85000,Closed Won,Won,Alex Chen,PropTech,Mid-Market,1,Security Concerns,99,82,85.4
OPP-0112,Matrix Dynamics,15000,Closed Lost,Lost,Marcus Rivera,PropTech,SMB,5,Contract Terms,9,19,12.9
OPP-0113,Corex Platforms,21000,Prospecting,Open,Alex Chen,MarTech,SMB,8,Security Concerns,17,40,59.0
OPP-0114,Forefront Cloud,110000,Negotiation,Open,Morgan Lee,E-Commerce,Mid-Market,40,Pricing,36,84,72.9
OPP-0115,Horizon Cloud,145000,Proposal,Open,Alex Chen,Legal Tech,Mid-Market,48,Security Concerns,16,41,39.5
OPP-0116,Drift Analytics,145000,Prospecting,Open,Alex Chen,E-Commerce,Mid-Market,2,Security Concerns,22,37,60.9
OPP-0117,Crest Analytics,80000,Qualification,Open,Dana Kim,DevTools,Mid-Market,9,Budget Freeze,8,52,62.0
OPP-0118,Astral Software,400000,Negotiation,Open,Morgan Lee,HR Tech,Enterprise,43,Pricing,33,55,64.2
OPP-0119,Velocity AI,80000,Negotiation,Open,Morgan Lee,HR Tech,Mid-Market,95,Pricing,37,74,61.8
OPP-0120,Celer Platforms,38000,Qualification,Open,Riley Scott,DevTools,SMB,44,Feature Gap,33,58,24.0
OPP-0121,Contour Analytics,230000,Negotiation,Open,Jordan Blake,EdTech,Enterprise,25,ROI Justification,38,66,59.2
OPP-0122,Helix Software,20000,Negotiation,Open,Alex Chen,DevTools,SMB,81,Pricing,32,62,54.2
OPP-0123,Relay Systems,155000,Negotiation,Open,Jamie Wu,PropTech,Mid-Market,88,Pricing,18,62,50.1
OPP-0124,Scout Analytics,18000,Discovery,Open,Priya Nair,Logistics,SMB,21,No Objection,35,64,64.6
OPP-0125,Nimble Tech,590000,Qualification,Open,Riley Scott,Logistics,Enterprise,39,ROI Justification,35,58,64.0
OPP-0126,Polaris Data,540000,Qualification,Open,Alex Chen,RetailTech,Enterprise,36,ROI Justification,42,60,45.7
OPP-0127,Keystone Cloud,32000,Negotiation,Open,Jamie Wu,DevTools,SMB,14,ROI Justification,32,54,53.0
OPP-0128,Cascade Technologies,450000,Closed Won,Won,Riley Scott,HealthTech,Enterprise,3,No Objection,94,95,92.0
OPP-0129,Equinox Cloud,32000,Discovery,Open,Marcus Rivera,PropTech,SMB,27,Feature Gap,30,44,53.8
OPP-0130,Nucleus Software,300000,Qualification,Open,Dana Kim,HR Tech,Enterprise,35,No Objection,20,48,47.7
OPP-0131,Stratos AI,16000,Proposal,Open,Casey Park,FinTech,SMB,59,Contract Terms,39,43,60.5
OPP-0132,Irongate Software,510000,Qualification,Open,Jordan Blake,HealthTech,Enterprise,21,No Objection,12,62,21.4
OPP-0133,Grid Dynamics,270000,Prospecting,Open,Riley Scott,MarTech,Enterprise,4,No Objection,14,58,36.2
OPP-0134,Mosaic Tech,370000,Closed Lost,Lost,Sam Torres,Manufacturing,Enterprise,6,Contract Terms,20,47,12.5
OPP-0135,TrueNorth AI,540000,Discovery,Open,Sam Torres,DevTools,Enterprise,5,No Objection,10,61,22.3
OPP-0136,Hallmark Software,130000,Qualification,Open,Priya Nair,E-Commerce,Mid-Market,40,Competitor Preference,16,51,23.8
OPP-0137,Fulcrum Systems,29000,Proposal,Open,Alex Chen,HR Tech,SMB,29,Contract Terms,31,70,57.4
OPP-0138,Platform9 Inc,17000,Discovery,Open,Casey Park,Cybersecurity,SMB,13,Competitor Preference,4,48,56.4
OPP-0139,Cloudgate Software,60000,Discovery,Open,Alex Chen,Cybersecurity,Mid-Market,31,Budget Freeze,22,51,17.8
OPP-0140,TerraLogic,140000,Discovery,Open,Marcus Rivera,E-Commerce,Mid-Market,11,Pricing,25,47,42.3
OPP-0141,Lodestar AI,65000,Closed Won,Won,Priya Nair,FinTech,Mid-Market,4,No Objection,52,77,63.0
OPP-0142,Uplink AI,115000,Prospecting,Open,Sam Torres,FinTech,Mid-Market,1,Stakeholder Alignment,7,42,43.0
OPP-0143,Highpoint Tech,31000,Proposal,Open,Casey Park,Insurance Tech,SMB,49,ROI Justification,38,49,48.8
OPP-0144,Deepwater Analytics,140000,Negotiation,Open,Riley Scott,FinTech,Mid-Market,20,Pricing,33,72,61.2
OPP-0145,Flux Platforms,105000,Closed Won,Won,Dana Kim,HealthTech,Mid-Market,1,Security Concerns,67,71,70.9
OPP-0146,Brightpath Software,125000,Discovery,Open,Jordan Blake,HealthTech,Mid-Market,24,No Objection,26,35,20.9
OPP-0147,Lumen Cloud,90000,Qualification,Open,Sam Torres,Logistics,Mid-Market,38,Contract Terms,28,44,57.9
OPP-0148,Crest Cloud,14000,Closed Lost,Lost,Jordan Blake,Insurance Tech,SMB,5,Contract Terms,43,54,19.6
OPP-0149,Brookside AI,12000,Discovery,Open,Jordan Blake,EdTech,SMB,4,ROI Justification,14,54,59.5
OPP-0150,Relay Platforms,27000,Qualification,Open,Dana Kim,E-Commerce,SMB,22,Pricing,17,45,16.6
OPP-0151,Skymark Cloud,27000,Discovery,Open,Dana Kim,FinTech,SMB,5,Stakeholder Alignment,24,57,63.6
OPP-0152,Pinnacle Data,100000,Qualification,Open,Riley Scott,DevTools,Mid-Market,42,Budget Freeze,26,60,51.8
OPP-0153,Conduit Software,135000,Qualification,Open,Jordan Blake,Insurance Tech,Mid-Market,37,No Objection,15,63,43.1
OPP-0154,Vortex Tech,31000,Negotiation,Open,Alex Chen,MarTech,SMB,21,ROI Justification,61,45,68.1
OPP-0155,Overture Tech,16000,Closed Lost,Lost,Dana Kim,HealthTech,SMB,6,Competitor Preference,19,11,12.2
OPP-0156,Archway Tech,90000,Discovery,Open,Alex Chen,Manufacturing,Mid-Market,21,Timing,20,44,60.7
OPP-0157,Cliffside AI,12000,Closed Won,Won,Morgan Lee,HealthTech,SMB,3,Pricing,100,83,92.7
OPP-0158,Nimbus Tech,560000,Proposal,Open,Jamie Wu,Cybersecurity,Enterprise,63,No Objection,55,77,75.6
OPP-0159,Zenith Cloud,95000,Proposal,Open,Jamie Wu,EdTech,Mid-Market,17,Pricing,49,79,82.3
OPP-0160,Coda Analytics,19000,Negotiation,Open,Riley Scott,RetailTech,SMB,56,Pricing,62,61,76.5
OPP-0161,Capstone Software,60000,Proposal,Open,Sam Torres,HR Tech,Mid-Market,63,Stakeholder Alignment,19,62,54.6
OPP-0162,Ember Technologies,145000,Discovery,Open,Morgan Lee,FinTech,Mid-Market,11,Competitor Preference,29,39,42.3
OPP-0163,Centric Platforms,115000,Discovery,Open,Alex Chen,DevTools,Mid-Market,9,No Objection,22,35,42.0
OPP-0164,Canopy Software,150000,Discovery,Open,Morgan Lee,MarTech,Mid-Market,8,Security Concerns,12,50,18.9
OPP-0165,Lumina Analytics,130000,Prospecting,Open,Casey Park,Real Estate Tech,Mid-Market,16,Feature Gap,15,43,64.8
OPP-0166,Valleyforge Cloud,140000,Qualification,Open,Alex Chen,MarTech,Mid-Market,27,Competitor Preference,24,51,45.9
OPP-0167,Arclight Solutions,110000,Proposal,Open,Marcus Rivera,RetailTech,Mid-Market,11,Pricing,52,52,56.7
OPP-0168,Meridian Software,36000,Discovery,Open,Riley Scott,MarTech,SMB,18,Timing,20,47,59.0
OPP-0169,Hardline Software,105000,Proposal,Open,Jordan Blake,RetailTech,Mid-Market,21,No Objection,42,62,70.5
OPP-0170,Ridge Systems,370000,Closed Lost,Lost,Sam Torres,EdTech,Enterprise,8,Competitor Preference,40,39,12.5
OPP-0171,Netcrest Analytics,16000,Discovery,Open,Casey Park,Real Estate Tech,SMB,24,Security Concerns,24,40,19.8
OPP-0172,Flatrock Cloud,55000,Closed Won,Won,Riley Scott,Insurance Tech,Mid-Market,0,No Objection,73,76,70.1
OPP-0173,NovaTech Solutions,22000,Closed Won,Won,Dana Kim,HealthTech,SMB,4,No Objection,63,85,77.5
OPP-0174,Quantum Leap Inc,95000,Discovery,Open,Alex Chen,MarTech,Mid-Market,16,Pricing,18,48,39.0
OPP-0175,Nexus Platforms,105000,Discovery,Open,Marcus Rivera,EdTech,Mid-Market,23,Stakeholder Alignment,14,49,26.8
OPP-0176,Luminary Data,125000,Discovery,Open,Riley Scott,Real Estate Tech,Mid-Market,22,Contract Terms,15,58,52.1
OPP-0177,Cobalt Systems,470000,Negotiation,Open,Alex Chen,EdTech,Enterprise,59,Pricing,45,79,65.4
OPP-0178,Dockside AI,16000,Discovery,Open,Jamie Wu,Insurance Tech,SMB,12,Contract Terms,23,41,45.4
OPP-0179,Momentum Cloud,95000,Discovery,Open,Dana Kim,Insurance Tech,Mid-Market,24,ROI Justification,14,66,43.4
OPP-0180,Sagelink Analytics,160000,Discovery,Open,Jordan Blake,FinTech,Mid-Market,25,Stakeholder Alignment,18,53,42.3
OPP-0181,Eclipse Software,570000,Proposal,Open,Riley Scott,MarTech,Enterprise,36,Feature Gap,17,77,69.0
OPP-0182,Momentum AI,320000,Qualification,Open,Dana Kim,EdTech,Enterprise,29,Feature Gap,42,51,34.7
OPP-0183,Orion Ventures,27000,Prospecting,Open,Morgan Lee,Insurance Tech,SMB,1,Security Concerns,13,54,42.9
OPP-0184,Compass Cloud,65000,Prospecting,Open,Sam Torres,Logistics,Mid-Market,4,No Objection,11,48,46.8
OPP-0185,Synapse AI,19000,Proposal,Open,Morgan Lee,EdTech,SMB,52,Security Concerns,32,54,62.5
OPP-0186,Rampart Cloud,65000,Negotiation,Open,Priya Nair,Cybersecurity,Mid-Market,47,Timing,43,58,58.9
OPP-0187,Highlands Data,290000,Closed Lost,Lost,Marcus Rivera,Insurance Tech,Enterprise,0,Budget Freeze,16,6,21.6
OPP-0188,Vanguard Data,31000,Closed Won,Won,Sam Torres,RetailTech,SMB,0,No Objection,93,84,90.1
OPP-0189,Folio Data,29000,Prospecting,Open,Sam Torres,PropTech,SMB,9,ROI Justification,13,41,18.0
OPP-0190,Signal Tech,18000,Proposal,Open,Morgan Lee,E-Commerce,SMB,50,Pricing,48,70,75.5
OPP-0191,Cornerstone Data,39000,Proposal,Open,Jamie Wu,Logistics,SMB,46,Competitor Preference,59,59,66.5
OPP-0192,Vantage Analytics,95000,Discovery,Open,Jordan Blake,PropTech,Mid-Market,18,Timing,30,51,30.5
OPP-0193,Clearstep Analytics,70000,Qualification,Open,Alex Chen,Cybersecurity,Mid-Market,38,Feature Gap,24,50,39.1
OPP-0194,Streamline Analytics,15000,Proposal,Open,Sam Torres,Logistics,SMB,17,Timing,18,49,46.1
OPP-0195,Elevate Tech,17000,Closed Lost,Lost,Sam Torres,RetailTech,SMB,7,Competitor Preference,8,22,17.6
OPP-0196,Greenfield Tech,145000,Prospecting,Open,Sam Torres,Insurance Tech,Mid-Market,7,Stakeholder Alignment,18,53,59.1
OPP-0197,Pulse Platforms,580000,Qualification,Open,Morgan Lee,FinTech,Enterprise,35,Budget Freeze,29,39,31.8
OPP-0198,HighRidge Tech,470000,Discovery,Open,Dana Kim,HR Tech,Enterprise,23,Feature Gap,11,60,21.6
OPP-0199,Tidal Software,32000,Qualification,Open,Jordan Blake,HealthTech,SMB,13,Timing,13,41,58.1
OPP-0200,Bedrock Platforms,90000,Qualification,Open,Jamie Wu,E-Commerce,Mid-Market,19,Budget Freeze,10,67,31.2
OPP-0201,Traverse Analytics,90000,Qualification,Open,Casey Park,FinTech,Mid-Market,21,Security Concerns,39,40,45.3
OPP-0202,Ironbridge AI,700000,Discovery,Open,Marcus Rivera,Cybersecurity,Enterprise,27,ROI Justification,26,41,57.9
OPP-0203,Citadel Cloud,100000,Closed Won,Won,Riley Scott,MarTech,Mid-Market,1,ROI Justification,90,76,85.3
OPP-0204,Echo Cloud,500000,Closed Lost,Lost,Marcus Rivera,E-Commerce,Enterprise,2,Pricing,17,19,14.3
OPP-0205,Meadowpoint Systems,80000,Proposal,Open,Riley Scott,Insurance Tech,Mid-Market,32,Pricing,29,66,60.5
OPP-0206,Sterling Systems,75000,Proposal,Open,Priya Nair,PropTech,Mid-Market,42,Pricing,25,74,58.2
OPP-0207,Rivergate Tech,680000,Closed Won,Won,Jamie Wu,Real Estate Tech,Enterprise,0,No Objection,85,73,77.1
OPP-0208,Praxis Platforms,750000,Proposal,Open,Alex Chen,Manufacturing,Enterprise,38,No Objection,14,63,46.0
OPP-0209,Fieldstone AI,14000,Qualification,Open,Morgan Lee,PropTech,SMB,12,Timing,24,46,35.8
OPP-0210,Stronghold Tech,30000,Qualification,Open,Sam Torres,Manufacturing,SMB,37,Contract Terms,19,49,20.9
OPP-0211,Fortis Tech,145000,Negotiation,Open,Priya Nair,Manufacturing,Mid-Market,16,Competitor Preference,41,63,55.9
OPP-0212,Radian Tech,13000,Negotiation,Open,Priya Nair,HealthTech,SMB,33,Feature Gap,36,67,69.2
OPP-0213,Stellar Operations,450000,Closed Won,Won,Alex Chen,Cybersecurity,Enterprise,0,No Objection,84,97,89.6
OPP-0214,Anchor Analytics,125000,Qualification,Open,Priya Nair,Real Estate Tech,Mid-Market,44,Feature Gap,26,67,32.9
OPP-0215,Apex Dynamics,340000,Discovery,Open,Riley Scott,EdTech,Enterprise,28,No Objection,13,53,23.0
OPP-0216,Titan Software,680000,Discovery,Open,Jamie Wu,Logistics,Enterprise,4,Stakeholder Alignment,12,63,59.3
OPP-0217,BlueRidge SaaS,340000,Closed Won,Won,Dana Kim,HR Tech,Enterprise,3,No Objection,96,96,95.9
OPP-0218,CoreLogic Pro,100000,Qualification,Open,Morgan Lee,MarTech,Mid-Market,18,Budget Freeze,21,71,62.7
OPP-0219,Verilink Data,730000,Qualification,Open,Morgan Lee,HR Tech,Enterprise,35,Competitor Preference,30,60,32.3
